Term,Year,ReferencesPerThousand,PercentArticles,ArticleCount,TotalOccurrences
rhetoric,1996,0.005435196156229278,2.5,40,1
rhetoric,1997,0.008137314469230102,3.076923076923077,65,3
rhetoric,1998,0.038693009661346874,9.375,64,13
rhetoric,1999,0.0771376382306477,17.91044776119403,67,25
rhetoric,2000,0.01593021856259868,8.695652173913043,92,9
rhetoric,2001,0.027575794656845086,8.045977011494253,87,16
rhetoric,2002,0.04079391229308857,12.76595744680851,94,26
rhetoric,2003,0.0388997941303203,13.253012048192772,83,26
rhetoric,2004,0.058769858702567214,16.161616161616163,99,40
rhetoric,2005,0.028254940941522443,11.71875,128,25
rhetoric,2006,0.025993811212599992,9.62962962962963,135,23
rhetoric,2007,0.021324040113565746,9.740259740259742,154,21
rhetoric,2008,0.05566120877591725,19.27710843373494,83,30
rhetoric,2009,0.08327418973267092,10.843373493975903,83,44
rhetoric,2010,0.05726414101017639,5.714285714285714,70,31
rhetoric,2011,0.008231428251578788,5.405405405405405,74,5
rhetoric,2012,0.059669965421255036,11.235955056179774,89,40
rhetoric,2013,0.015335953225342662,8.24742268041237,97,12
rhetoric,2014,0.0190980013941541,11.458333333333332,96,16
rhetoric,2015,0.04916281865188177,17.17171717171717,99,40
rhetoric,2016,0.028409763488718955,10.204081632653061,98,24
rhetoric,2017,0.05836961978029675,17.525773195876287,97,50
rhetoric,2018,0.019959208367898107,8.333333333333332,96,16
rhetoric,2019,0.05031522488389762,15.909090909090908,88,40
rhetoric,2020,0.021127755087063032,12.371134020618557,97,19
rhetoric,2021,0.06841160687314533,14.516129032258066,124,77
rhetoric,2022,0.015536238831941175,10.989010989010989,91,14
rhetoric,2023,0.0633327464498829,13.953488372093023,86,50
rhetoric,2024,0.028375310777213274,17.333333333333336,75,21
rhetoric,2025,0.022609403424802863,13.559322033898304,59,13
composition,1996,0.0,0.0,40,0
composition,1997,0.010849752625640136,4.615384615384616,65,4
composition,1998,0.035716624302781726,4.6875,64,12
composition,1999,0.02159853870458136,5.970149253731343,67,7
composition,2000,0.0035400485694663734,2.1739130434782608,92,2
composition,2001,0.0068939486642112715,4.597701149425287,87,4
composition,2002,0.007844983133286264,5.319148936170213,94,5
composition,2003,0.0059845837123569685,3.614457831325301,83,4
composition,2004,0.014692464675641803,7.07070707070707,99,10
composition,2005,0.013562371651930773,6.25,128,12
composition,2006,0.02373347980280869,6.666666666666667,135,21
composition,2007,0.012185165779180425,6.493506493506493,154,12
composition,2008,0.029685978013822535,7.228915662650602,83,16
composition,2009,0.03217411876035013,9.63855421686747,83,17
composition,2010,0.031402916037838666,14.285714285714285,70,17
composition,2011,0.008231428251578788,5.405405405405405,74,5
composition,2012,0.010442243948719631,7.865168539325842,89,7
composition,2013,0.054953832390811204,9.278350515463918,97,43
composition,2014,0.005968125435673157,5.208333333333334,96,5
composition,2015,0.007374422797782265,6.0606060606060606,99,6
composition,2016,0.041430905087715145,12.244897959183673,98,35
composition,2017,0.010506531560453416,7.216494845360824,97,9
composition,2018,0.009979604183949053,7.291666666666667,96,8
composition,2019,0.015094567465169286,5.681818181818182,88,12
composition,2020,0.01779179375752676,8.24742268041237,97,16
composition,2021,0.01155001155001155,8.870967741935484,124,13
composition,2022,0.009987582106247898,4.395604395604396,91,9
composition,2023,0.021533133792960187,12.790697674418606,86,17
composition,2024,0.01756566857637012,6.666666666666667,75,13
composition,2025,0.012174294151816928,5.084745762711865,59,7
discourse,1996,0.027175980781146393,12.5,40,5
discourse,1997,0.0406865723461505,6.153846153846154,65,15
discourse,1998,0.1428664972111269,14.0625,64,48
discourse,1999,0.049368088467614535,16.417910447761194,67,16
discourse,2000,0.03009041284046417,8.695652173913043,92,17
discourse,2001,0.11892061445764444,10.344827586206897,87,69
discourse,2002,0.09884678747940691,23.404255319148938,94,63
discourse,2003,0.0673265667640159,21.686746987951807,83,45
discourse,2004,0.06317759810525976,22.22222222222222,99,43
discourse,2005,0.06442126534667117,15.625,128,57
discourse,2006,0.06441944517905215,17.037037037037038,135,57
discourse,2007,0.07920357756467278,15.584415584415584,154,78
discourse,2008,0.12431003293288186,25.301204819277107,83,67
discourse,2009,0.1022001419446416,27.710843373493976,83,54
discourse,2010,0.08681982669284809,24.285714285714285,70,47
discourse,2011,0.11853256682273455,20.27027027027027,74,72
discourse,2012,0.13873266960441796,32.58426966292135,89,93
discourse,2013,0.11118566088373431,40.20618556701031,97,87
discourse,2014,0.2673720195181574,34.375,96,224
discourse,2015,0.14625938548934828,38.38383838383838,99,119
discourse,2016,0.22846184805511494,37.755102040816325,98,193
discourse,2017,0.10389792320892823,31.958762886597935,97,89
discourse,2018,0.165910919558153,36.45833333333333,96,133
discourse,2019,0.16981388398315447,37.5,88,135
discourse,2020,0.2212854348592391,48.45360824742268,97,199
discourse,2021,0.19368480906942445,38.70967741935484,124,218
discourse,2022,0.164240239080521,37.362637362637365,91,148
discourse,2023,0.1570652111957096,41.86046511627907,86,124
discourse,2024,0.318884444924873,56.00000000000001,75,236
discourse,2025,0.2782695806129583,38.983050847457626,59,160
writing,1996,0.1793614731555662,35.0,40,33
writing,1997,0.20343286173075253,46.15384615384615,65,75
writing,1998,0.2648982969122978,37.5,64,89
writing,1999,0.16044628751974724,28.35820895522388,67,52
writing,2000,0.07788106852826021,25.0,92,44
writing,2001,0.1533903577787008,39.08045977011494,87,89
writing,2002,0.15219267278575352,37.234042553191486,94,97
writing,2003,0.1032340690381577,27.710843373493976,83,69
writing,2004,0.11607047093757025,35.35353535353536,99,79
writing,2005,0.09154600865053272,32.03125,128,81
writing,2006,0.09041325639165215,34.81481481481482,135,80
writing,2007,0.13708311501577977,32.467532467532465,154,135
writing,2008,0.2282109559812607,46.98795180722892,83,123
writing,2009,0.15708540335935653,43.373493975903614,83,83
writing,2010,0.11822274273068675,47.14285714285714,70,64
writing,2011,0.11030113857115575,37.83783783783784,74,67
writing,2012,0.12829042565569834,26.96629213483146,89,86
writing,2013,0.16486149717243362,34.02061855670103,97,129
writing,2014,0.09549000697077051,37.5,96,80
writing,2015,0.1057000601015458,33.33333333333333,99,86
writing,2016,0.1515187386065011,34.69387755102041,98,128
writing,2017,0.1762762517364962,30.927835051546392,97,151
writing,2018,0.23452069832280276,36.45833333333333,96,188
writing,2019,0.05660462799438482,25.0,88,45
writing,2020,0.20571761532140317,34.02061855670103,97,185
writing,2021,0.08351546813085274,29.03225806451613,124,94
writing,2022,0.05548656725693277,30.76923076923077,91,50
writing,2023,0.11526559853878687,32.55813953488372,86,91
writing,2024,0.07836990595611286,34.66666666666667,75,58
writing,2025,0.06087147075908463,35.59322033898305,59,35
identity,1996,0.11413911928081484,20.0,40,21
identity,1997,0.024411943407690304,9.230769230769232,65,9
identity,1998,0.13691372649399663,20.3125,64,46
identity,1999,0.04011157187993681,11.940298507462686,67,13
identity,2000,0.09558131137559207,14.130434782608695,92,54
identity,2001,0.06893948664211272,20.689655172413794,87,40
identity,2002,0.09257080097277791,23.404255319148938,94,59
identity,2003,0.16607219801790588,28.915662650602407,83,111
identity,2004,0.14545540028885387,24.242424242424242,99,99
identity,2005,0.12545193778035965,21.875,128,111
identity,2006,0.126578558948313,26.666666666666668,135,112
identity,2007,0.13708311501577977,24.675324675324674,154,135
identity,2008,0.14100839556565703,31.32530120481928,83,76
identity,2009,0.3520227111426544,36.144578313253014,83,186
identity,2010,0.1403895069926905,34.285714285714285,70,76
identity,2011,0.3852308421738873,43.24324324324324,74,234
identity,2012,0.46691747942132067,33.70786516853933,89,313
identity,2013,0.2338732866864756,47.42268041237113,97,183
identity,2014,0.24946764321113796,37.5,96,209
identity,2015,0.22369082486606207,33.33333333333333,99,182
identity,2016,0.2201756670375719,50.0,98,186
identity,2017,0.22180455516512765,44.329896907216494,97,190
identity,2018,0.24450030250675184,42.70833333333333,96,196
identity,2019,0.4264215308910323,47.72727272727273,88,339
identity,2020,0.19348575711310353,52.57731958762887,97,174
identity,2021,0.18835403450788066,48.38709677419355,124,212
identity,2022,0.28298149301035713,51.64835164835166,91,255
identity,2023,0.11019897882279625,43.02325581395349,86,87
identity,2024,0.2270024862177062,49.333333333333336,75,168
identity,2025,0.35305453040269086,49.152542372881356,59,203
digital media,1996,0.03261117693737567,12.5,40,6
digital media,1997,0.002712438156410034,1.5384615384615385,65,1
digital media,1998,0.017858312151390863,6.25,64,6
digital media,1999,0.012342022116903634,4.477611940298507,67,4
digital media,2000,0.008850121423665931,3.260869565217391,92,5
digital media,2001,0.02585230749079227,9.195402298850574,87,15
digital media,2002,0.01725896289322978,11.702127659574469,94,11
digital media,2003,0.022442188921338632,4.819277108433735,83,15
digital media,2004,0.029384929351283607,12.121212121212121,99,20
digital media,2005,0.006781185825965387,3.125,128,6
digital media,2006,0.021473148393017383,9.62962962962963,135,19
digital media,2007,0.022339470595164116,7.142857142857142,154,22
digital media,2008,0.05937195602764507,14.457831325301203,83,32
digital media,2009,0.024603737875561863,8.433734939759036,83,13
digital media,2010,0.04802798923434149,11.428571428571429,70,26
digital media,2011,0.016462856503157576,8.108108108108109,74,10
digital media,2012,0.031326731846158896,12.359550561797752,89,21
digital media,2013,0.0779577622288252,18.556701030927837,97,61
digital media,2014,0.05013225365965452,22.916666666666664,96,42
digital media,2015,0.04547560725299064,15.151515151515152,99,37
digital media,2016,0.09943417221051636,30.612244897959183,98,84
digital media,2017,0.06420658175832643,25.773195876288657,97,55
digital media,2018,0.13971445857528675,33.33333333333333,96,112
digital media,2019,0.015094567465169286,5.681818181818182,88,12
digital media,2020,0.09118294300732466,25.773195876288657,97,82
digital media,2021,0.058638520176981714,22.58064516129032,124,66
digital media,2022,0.11874125392983612,24.175824175824175,91,107
digital media,2023,0.040532957727925055,18.6046511627907,86,32
digital media,2024,0.1986271754404929,29.333333333333332,75,147
digital media,2025,0.017391848788309894,16.94915254237288,59,10
public sphere,1996,0.0,0.0,40,0
public sphere,1997,0.01356219078205017,1.5384615384615385,65,5
public sphere,1998,0.008929156075695431,3.125,64,3
public sphere,1999,0.03085505529225908,7.462686567164178,67,10
public sphere,2000,0.07965109281299339,1.0869565217391304,92,45
public sphere,2001,0.060322050811848625,5.747126436781609,87,35
public sphere,2002,0.02510394602651604,5.319148936170213,94,16
public sphere,2003,0.00748072964044621,3.614457831325301,83,5
public sphere,2004,0.019100204078334345,4.040404040404041,99,13
public sphere,2005,0.1017177873894808,5.46875,128,90
public sphere,2006,0.03390497114686955,8.148148148148149,135,30
public sphere,2007,0.0071080133711885814,3.896103896103896,154,7
public sphere,2008,0.04638434064659771,6.024096385542169,83,25
public sphere,2009,0.02081854743316773,9.63855421686747,83,11
public sphere,2010,0.007388921420667922,4.285714285714286,70,4
public sphere,2011,0.031279427355999395,5.405405405405405,74,19
public sphere,2012,0.025359735304033394,11.235955056179774,89,17
public sphere,2013,0.030671906450685325,6.185567010309279,97,24
public sphere,2014,0.06684300487953936,10.416666666666668,96,56
public sphere,2015,0.04670467771928768,11.11111111111111,99,38
public sphere,2016,0.1278439356992353,18.367346938775512,98,108
public sphere,2017,0.03035220228575431,9.278350515463918,97,26
public sphere,2018,0.016216856798917215,10.416666666666668,96,13
public sphere,2019,0.010063044976779524,7.954545454545454,88,8
public sphere,2020,0.030023651965826414,11.34020618556701,97,27
public sphere,2021,0.05153082076159,12.903225806451612,124,58
public sphere,2022,0.02441408959305042,12.087912087912088,91,22
public sphere,2023,0.06966602109487119,12.790697674418606,86,55
public sphere,2024,0.0229704896767917,12.0,75,17
public sphere,2025,0.012174294151816928,8.47457627118644,59,7
civic engagement,1996,0.0,0.0,40,0
civic engagement,1997,0.0,0.0,65,0
civic engagement,1998,0.0,0.0,64,0
civic engagement,1999,0.0,0.0,67,0
civic engagement,2000,0.014160194277865494,1.0869565217391304,92,8
civic engagement,2001,0.00861743583026409,3.4482758620689653,87,5
civic engagement,2002,0.0015689966266572526,1.0638297872340425,94,1
civic engagement,2003,0.0014961459280892421,1.2048192771084338,83,1
civic engagement,2004,0.0014692464675641805,1.0101010101010102,99,1
civic engagement,2005,0.0,0.0,128,0
civic engagement,2006,0.0011301657048956519,0.7407407407407408,135,1
civic engagement,2007,0.013200596260778795,2.5974025974025974,154,13
civic engagement,2008,0.01113224175518345,6.024096385542169,83,6
civic engagement,2009,0.017033356990773598,8.433734939759036,83,9
civic engagement,2010,0.003694460710333961,2.857142857142857,70,2
civic engagement,2011,0.03292571300631515,9.45945945945946,74,20
civic engagement,2012,0.025359735304033394,5.617977528089887,89,17
civic engagement,2013,0.0012779961021118886,1.0309278350515463,97,1
civic engagement,2014,0.07519838048948178,3.125,96,63
civic engagement,2015,0.02949769119112906,8.080808080808081,99,24
civic engagement,2016,0.07931058973934042,11.224489795918368,98,67
civic engagement,2017,0.0011673923956059351,1.0309278350515463,97,1
civic engagement,2018,0.017464307321910844,5.208333333333334,96,14
civic engagement,2019,0.012578806220974405,3.4090909090909087,88,10
civic engagement,2020,0.04003153595443521,10.309278350515463,97,36
civic engagement,2021,0.0231000231000231,4.032258064516129,124,26
civic engagement,2022,0.009987582106247898,3.296703296703297,91,9
civic engagement,2023,0.002533309857995316,1.1627906976744187,86,2
civic engagement,2024,0.08512593233163983,10.666666666666668,75,63
civic engagement,2025,0.003478369757661979,1.694915254237288,59,2
digital divide,1996,0.0,0.0,40,0
digital divide,1997,0.0,0.0,65,0
digital divide,1998,0.008929156075695431,1.5625,64,3
digital divide,1999,0.0,0.0,67,0
digital divide,2000,0.08142111709772658,6.521739130434782,92,46
digital divide,2001,0.10168574279711626,9.195402298850574,87,59
digital divide,2002,0.22750451086530166,11.702127659574469,94,145
digital divide,2003,0.14063771724038876,15.66265060240964,83,94
digital divide,2004,0.04995437989718213,11.11111111111111,99,34
digital divide,2005,0.07120245117263656,8.59375,128,63
digital divide,2006,0.1333595531776869,9.62962962962963,135,118
digital divide,2007,0.24370331558360853,12.337662337662337,154,240
digital divide,2008,0.03154135163968644,9.63855421686747,83,17
digital divide,2009,0.02649633309675893,9.63855421686747,83,14
digital divide,2010,0.09420874811351601,7.142857142857142,70,51
digital divide,2011,0.036218284306946666,10.81081081081081,74,22
digital divide,2012,0.035801979252753025,7.865168539325842,89,24
digital divide,2013,0.048563851880251765,10.309278350515463,97,38
digital divide,2014,0.013129875958480945,6.25,96,11
digital divide,2015,0.03441397305631724,13.131313131313133,99,28
digital divide,2016,0.0355122043608987,6.122448979591836,98,30
digital divide,2017,0.0466956958242374,7.216494845360824,97,40
digital divide,2018,0.04116586725878985,7.291666666666667,96,33
digital divide,2019,0.0012578806220974405,1.1363636363636365,88,1
digital divide,2020,0.11675864653376937,14.432989690721648,97,105
digital divide,2021,0.022211560673099137,5.64516129032258,124,25
digital divide,2022,0.07546173146942857,12.087912087912088,91,68
digital divide,2023,0.016466514076969554,3.488372093023256,86,13
digital divide,2024,0.0229704896767917,5.333333333333334,75,17
digital divide,2025,0.003478369757661979,3.389830508474576,59,2
online communities,1996,0.0,0.0,40,0
online communities,1997,0.005424876312820068,1.5384615384615385,65,2
online communities,1998,0.0029763853585651444,1.5625,64,1
online communities,1999,0.02159853870458136,4.477611940298507,67,7
online communities,2000,0.0035400485694663734,1.0869565217391304,92,2
online communities,2001,0.013787897328422543,6.896551724137931,87,8
online communities,2002,0.021965952773201538,5.319148936170213,94,14
online communities,2003,0.01944989706516015,8.433734939759036,83,13
online communities,2004,0.03820040815666869,10.1010101010101,99,26
online communities,2005,0.004520790550643591,3.125,128,4
online communities,2006,0.020342982688121732,8.148148148148149,135,18
online communities,2007,0.06701841178549234,7.142857142857142,154,66
online communities,2008,0.018553736258639084,12.048192771084338,83,10
online communities,2009,0.0511000709723208,13.253012048192772,83,27
online communities,2010,0.011083382131001882,8.571428571428571,70,6
online communities,2011,0.07572913991452485,17.56756756756757,74,46
online communities,2012,0.08055445331869429,15.730337078651685,89,54
online communities,2013,0.03961787916546854,5.154639175257731,97,31
online communities,2014,0.02625975191696189,9.375,96,22
online communities,2015,0.019665127460752704,11.11111111111111,99,16
online communities,2016,0.01065366130826961,9.183673469387756,98,9
online communities,2017,0.04552830342863146,11.34020618556701,97,39
online communities,2018,0.019959208367898107,12.5,96,16
online communities,2019,0.07421495670374899,13.636363636363635,88,59
online communities,2020,0.026687690636290146,12.371134020618557,97,24
online communities,2021,0.007996161842315688,7.258064516129033,124,9
online communities,2022,0.017755701522218486,12.087912087912088,91,16
online communities,2023,0.027866408437948475,9.30232558139535,86,22
online communities,2024,0.010809642200843152,9.333333333333334,75,8
online communities,2025,0.026087773182464843,11.864406779661017,59,15
